id,name,price,case,manufacturer_id,upc
BE-00000,Chemi Pure Green 5oz, $	10.12 ,12,CPGN05,719958000006
BE-00001,Chemi Pure Green 11oz, $	18.48 ,12,CPGN11,719958000013
BE-16705,Chemi Pure 10oz, $	10.12 ,12,CP10,719958167054
BE-16706,Chemi Pure 5oz, $	6.81 ,12,CP05,719958167061
BE-16714,Chemi Clean 2g, $	16.18 ,24,CC02,719958167146
BE-16742,Chemi Pure Elite 6.25oz, $	10.00 ,12,CPE06,719958167429
BE-16743,Chemi Pure Elite 11.74oz, $	16.61 ,12,CPE11,719958167436
BE-16744,Chemi Pure Grande 40oz, $	37.92 ,12,CP40,719958167443
BE-16745,Chemi Pure Elite Grande 46.96oz, $	63.87 ,12,CPE46,719958167450
BE-16746,Chemi Pure Elite Mini 3.1oz, $	7.75 ,12,CPE03,719958167467
BE-16752,Chemi Pure Blue 11oz, $	20.55 ,12,CPBLU11,719958167528
BE-16753,Chemi Pure Blue 5.5oz, $	11.23 ,12,CPBLU05,719958167535
BE-16754,Chemi Pure Blue Nano Pack (5pc), $	12.72 ,12,CPBLUnano5,719958167549
BE-16755,Chemi Clean Liquid 2oz, $	29.19 ,24,CCL02,719958167559
BE-76714,Chemi Clean 6g, $	30.03 ,24,CC06,719958767148